Date,Ocean,Region,Location,Depth (m),Temperature (ºC),Salinity (PSU),Phosphate (mg/L),Silicate (mg/L),Nitrate (mg/L),pH,Chlorophyll (µg/L),Alkalinity (mg/L),Dissolved Organic Carbon (µmol/kg),Iron (mg/L),Latitude,Longitude
2011-12-24,Pacific,North Philippine Sea,Northern Mariana Islands,15,27.9801,34.6823,6.658557029999999e-9,3.0412979999999996e-8,2.2244257875e-9,8.1296,0.062,239.89145817500005,NA,NA,15.18107,145.84822
2011-12-28,Pacific,North Philippine Sea,Northern Mariana Islands,10,28.637,33.8799,8.1771753e-9,7.018379999999999e-8,6.35550225e-9,8.1333,0.04,234.52588349999996,NA,NA,15.18107,145.84822
2011-12-31,Pacific,North Philippine Sea,Northern Mariana Islands,15,29.5197,34.3094,1.4796793399999999e-8,4.8348839999999994e-8,4.1310764625e-9,8.1266,0.093,237.41898494999998,NA,NA,15.18107,145.84822
2015-04-11,Pacific,French Polynesia,Near Huahine,15,29.1751,35.8356,8.761259249999999e-9,5.458739999999999e-8,0,8.1191,0.065,248.3142819,NA,NA,-16.7329,-151.01109
2015-04-12,Pacific,French Polynesia,Near Huahine,0,29.3963,35.4015,1.1681678999999999e-8,4.678919999999999e-8,0,8.1249,0.048,245.46221734999995,NA,NA,-16.7329,-151.01109
2015-04-13,Pacific,French Polynesia,Near Huahine,10,29.258,35.9272,8.761259249999999e-9,2.0275319999999997e-8,0,8.1222,0.0849,249.03242765,NA,NA,-16.7329,-151.01109
2022-05-01,Pacific,North Philippine Sea,Northern Mariana Islands,0,27.882,34.5916,2.9204197499999996e-9,2.3394599999999994e-8,0,8.0897,0.0135,238.99890559999997,NA,NA,15.18107,145.84822
2008-04-07,Pacific,Pacific Remote Islands Area,Kingman Reef,21.95,NA,34.8508,NA,NA,NA,NA,NA,232.63818609999996,1976.3,NA,6.38401,-162.41667
2008-04-06,Pacific,Pacific Remote Islands Area,Kingman Reef,8.9,NA,34.8891,NA,NA,NA,NA,NA,232.935703625,1978.3,NA,6.38401,-162.41667
2006-02-28,Pacific,American Samoa,Ofu and Olosega Islands,1,NA,34.708,NA,NA,NA,NA,NA,233.0485551,1920.8,NA,-14.17662,-169.63896
2008-04-05,Pacific,Pacific Remote Islands Area,Kingman Reef,1,NA,34.8662,NA,NA,NA,NA,NA,233.06907355,1993.9,NA,6.38401,-162.41667
2006-02-28,Pacific,American Samoa,Ofu and Olosega Islands,30,NA,34.727,NA,NA,NA,NA,NA,233.34607262499998,1922.9,NA,-14.17662,-169.63896
2008-04-07,Pacific,Pacific Remote Islands Area,Kingman Reef,17.4,NA,34.86,NA,NA,NA,NA,NA,234.1155145,1981.2,NA,6.38401,-162.41667
2015-03-28,Pacific,American Samoa,Tutuila,14,NA,NA,NA,NA,NA,NA,NA,234.125773725,1952.5,NA,-14.29665,-170.72425
2008-10-09,Pacific,Hawaiian Archipelago,French Frigate Shoals,9.1,NA,35.381,NA,NA,NA,NA,NA,234.20784752499998,1978.4,NA,23.75046,-166.14594
2008-10-09,Pacific,Hawaiian Archipelago,French Frigate Shoals,9.1,NA,35.3563,NA,NA,NA,NA,NA,234.27966209999994,1978.8,NA,23.75046,-166.14594
2008-04-06,Pacific,Pacific Remote Islands Area,Kingman Reef,0.3,NA,34.8569,NA,NA,NA,NA,NA,234.66951265000003,1984.6,NA,6.38401,-162.41667
2008-04-08,Pacific,Pacific Remote Islands Area,Kingman Reef,9.45,NA,34.857,NA,NA,NA,NA,NA,234.731068,1985.2,NA,6.38401,-162.41667
2013-08-11,Pacific,Hawaiian Archipelago,Molokai,13.7,NA,34.997,NA,NA,NA,NA,NA,234.757741985,1987.103224,NA,21.13598,-157.10221
2013-08-07,Pacific,Hawaiian Archipelago,Hawai'i (Big Island),13.7,NA,34.547,NA,NA,NA,NA,NA,235.28814391749995,1995.458535,NA,19.3974,-155.66616
2013-08-11,Pacific,Hawaiian Archipelago,Molokai,13.1,NA,34.757,NA,NA,NA,NA,NA,235.42048791999997,2010.166895,NA,21.13598,-157.10221
2008-03-14,Pacific,American Samoa,Rose Atoll,7.9,NA,35.0264,NA,NA,NA,NA,NA,235.72621282499998,1943.9,NA,-14.54176,-168.15616
2013-08-09,Pacific,Hawaiian Archipelago,Maui,0.9,NA,34.943,NA,NA,NA,NA,NA,235.75288680999998,2000.30676,NA,20.74914,-156.15505
2013-08-09,Pacific,Hawaiian Archipelago,Maui,14.6,NA,35.066,NA,NA,NA,NA,NA,237.53799196000003,2012.789287,NA,20.74914,-156.15505
2013-08-17,Pacific,Hawaiian Archipelago,Niihau,0.9,NA,35.1,NA,NA,NA,NA,NA,237.765746755,1996.842058,NA,21.90727,-160.14937
2017-04-11,Pacific,Pacific Remote Islands Area,Baker Island,13.7,28.0449,35.0631,NA,NA,NA,7.846323485,NA,229.693788525,2026.2,NA,0.19575,-176.47938
2018-07-31,Pacific,Pacific Remote Islands Area,Jarvis Island,1,28.13995,35.128,NA,NA,NA,7.939392821,NA,236.362284775,2036.9,NA,-0.37641,-159.99755
2017-04-05,Pacific,Pacific Remote Islands Area,Jarvis Island,0.9,26.9162,35.1347,NA,NA,NA,7.946335172,NA,236.41358089999997,2043.5,NA,-0.37641,-159.99755
2017-04-10,Pacific,Pacific Remote Islands Area,Baker Island,14,27.9158,35.0611,NA,NA,NA,7.955944912,NA,236.71109842500002,2032.8,NA,0.19575,-176.47938
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,13.7,27.9577,35.051,NA,NA,NA,7.962120862,NA,236.608506175,2028.1,NA,0.80872,-176.61571
2017-04-11,Pacific,Pacific Remote Islands Area,Howland Island,13.7,27.7184,35.061,NA,NA,NA,7.964189576,NA,235.72621282499998,2021,NA,0.80872,-176.61571
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,14,27.9477,35.0581,NA,NA,NA,7.96441216,NA,236.39306244999995,2024.9,NA,0.80872,-176.61571
2017-04-03,Pacific,Pacific Remote Islands Area,Jarvis Island,8.8,26.8178,35.1031,NA,NA,NA,7.968689193,NA,236.85472757499997,2035.9,NA,-0.37641,-159.99755
2017-04-05,Pacific,Pacific Remote Islands Area,Jarvis Island,15.2,26.9162,35.1347,NA,NA,NA,7.96887089,NA,238.12687147499997,2046,NA,-0.37641,-159.99755
2018-07-30,Pacific,Pacific Remote Islands Area,Jarvis Island,1,28.133475,35.252875,NA,NA,NA,7.974163505,NA,237.75753937500002,2028.7,NA,-0.37641,-159.99755
2017-04-11,Pacific,Pacific Remote Islands Area,Baker Island,0.9,28.1105,35.0711,NA,NA,NA,7.975125928,NA,236.63928385000003,2019.7,NA,0.19575,-176.47938
2018-07-30,Pacific,Pacific Remote Islands Area,Jarvis Island,1,28.14035,35.261,NA,NA,NA,7.975619144,NA,237.91142775,2029.1,NA,-0.37641,-159.99755
2017-04-11,Pacific,Pacific Remote Islands Area,Howland Island,0.9,27.7184,35.061,NA,NA,NA,7.978196416,NA,236.013471125,2015.8,NA,0.80872,-176.61571
2017-04-11,Pacific,Pacific Remote Islands Area,Baker Island,0.9,28.0449,35.0631,NA,NA,NA,7.980844553,NA,235.13117777499997,2003.6,NA,0.19575,-176.47938
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,0.9,28.1011,35.0314,NA,NA,NA,7.983467034,NA,236.53669159999998,2014.3,NA,0.80872,-176.61571
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,0.9,27.9477,35.0581,NA,NA,NA,7.984799307,NA,236.608506175,2015.3,NA,0.80872,-176.61571
2017-04-10,Pacific,Pacific Remote Islands Area,Baker Island,0.9,27.9158,35.0611,NA,NA,NA,7.986722287,NA,234.228365975,1993.3,NA,0.19575,-176.47938
2017-04-12,Pacific,Pacific Remote Islands Area,Howland Island,0.9,27.9577,35.051,NA,NA,NA,7.997707709,NA,236.23917407499994,2004.4,NA,0.80872,-176.61571
2017-05-02,Pacific,Guam and Marianas Islands,Guam,12.8,29.1359,34.1797,NA,NA,NA,8.013788757,NA,228.33957082499998,1921,NA,13.4506,144.76817
2017-06-06,Pacific,Guam and Marianas Islands,Asuncion Island,12.5,30.1903,34.718,NA,NA,NA,8.015889284,NA,234.20784752499998,1957.6,NA,19.69003,145.40804
2017-06-05,Pacific,Guam and Marianas Islands,Asuncion Island,10.1,29.919,34.733,NA,NA,NA,8.01935737,NA,234.50536505000002,1960.5,NA,19.69003,145.40804
2017-06-07,Pacific,Guam and Marianas Islands,Asuncion Island,11.6,30.4598,34.6302,NA,NA,NA,8.019941547,NA,233.99240380000003,1951.4,NA,19.69003,145.40804
2017-06-06,Pacific,Guam and Marianas Islands,Asuncion Island,14,29.9032,34.7113,NA,NA,NA,8.020019981,NA,234.02318147499994,1956.1,NA,19.69003,145.40804
2017-06-06,Pacific,Guam and Marianas Islands,Asuncion Island,13.7,30.4049,34.7413,NA,NA,NA,8.021107104,NA,233.95136689999998,1949.9,NA,19.69003,145.40804
2018-08-06,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.970475,34.256825,NA,NA,NA,8.021580154,NA,231.027487775,1932.1,NA,5.88248,-162.07633
2018-08-03,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.6869,34.2762,NA,NA,NA,8.028216324,NA,231.21215382499997,1932.1,NA,5.88248,-162.07633
2018-08-04,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.624325,34.5094,NA,NA,NA,8.031870975,NA,232.91518517499998,1943.5,NA,5.88248,-162.07633
2018-08-07,Pacific,Pacific Remote Islands Area,Palmyra Atoll,1,29.517125,34.255425,NA,NA,NA,8.033146515,NA,231.10956157499993,1929.9,NA,5.88248,-162.07633
2017-05-05,Pacific,Guam and Marianas Islands,Guam,6.1,29.3131,34.1367,NA,NA,NA,8.036446179,NA,229.673270075,1918,NA,13.4506,144.76817
2018-08-10,Pacific,Pacific Remote Islands Area,Kingman Reef,1,29.484775,34.246875,NA,NA,NA,8.037560769,NA,231.26344994999997,1928.9,NA,6.38401,-162.41667
2018-08-09,Pacific,Pacific Remote Islands Area,Kingman Reef,1,29.561775,34.14965,NA,NA,NA,8.037600263,NA,230.2990828,1920.5,NA,6.38401,-162.41667
2017-05-04,Pacific,Guam and Marianas Islands,Guam,13.1,29.2533,34.1812,NA,NA,NA,8.040121273,NA,229.6835293,1915.9,NA,13.4506,144.76817
2017-05-04,Pacific,Guam and Marianas Islands,Guam,0.9,29.373,34.1627,NA,NA,NA,8.040997188,NA,230.247786675,1919.6,NA,13.4506,144.76817
2017-05-19,Pacific,Guam and Marianas Islands,Tinian,15.8,29.2916,34.2513,NA,NA,NA,8.0468498,NA,232.75103757499997,1937.6,NA,15.00491,145.63421
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,13.4,27.9041,34.682,NA,NA,NA,8.050094463,NA,236.31098864999998,1976.3,NA,19.29377,166.63213
2017-05-04,Pacific,Guam and Marianas Islands,Guam,0.9,29.2533,34.1812,NA,NA,NA,8.05052687,NA,227.77531344999997,1893.1,NA,13.4506,144.76817
2017-04-22,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.9412,34.7257,NA,NA,NA,8.052013971,NA,234.77210489999996,1961.2,NA,19.29377,166.63213
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,13.4,27.3067,34.9234,NA,NA,NA,8.053547306,NA,235.82880507499996,1973.6,NA,19.29377,166.63213
2017-04-19,Pacific,Pacific Remote Islands Area,Wake Atoll,12.8,27.351,35.0193,NA,NA,NA,8.053712458,NA,235.57232444999994,1970.1,NA,19.29377,166.63213
2017-04-21,Pacific,Pacific Remote Islands Area,Wake Atoll,14.6,27.4102,34.9724,NA,NA,NA,8.054691226,NA,235.644139025,1969.9,NA,19.29377,166.63213
2017-05-05,Pacific,Guam and Marianas Islands,Guam,13.1,29.4079,34.1495,NA,NA,NA,8.054909194,NA,230.17597209999997,1909.9,NA,13.4506,144.76817
2017-04-22,Pacific,Pacific Remote Islands Area,Wake Atoll,13.7,27.5445,35.0263,NA,NA,NA,8.055430249,NA,235.72621282499998,1968.5,NA,19.29377,166.63213
2017-04-19,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.6247,34.819,NA,NA,NA,8.055574018,NA,235.18247390000002,1964.8,NA,19.29377,166.63213
2017-04-21,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.4102,34.9724,NA,NA,NA,8.055985847,NA,236.033989575,1972.8,NA,19.29377,166.63213
2017-04-21,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.2872,35.0352,NA,NA,NA,8.056019349,NA,236.68032074999996,1979.1,NA,19.29377,166.63213
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.3067,34.9234,NA,NA,NA,8.057372559,NA,236.02373035,1973.2,NA,19.29377,166.63213
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.5537,34.8864,NA,NA,NA,8.062140943,NA,236.02373035,1968.2,NA,19.29377,166.63213
2018-07-12,Pacific,American Samoa,Ta'u,1,28.19135,35.270375,NA,NA,NA,8.063498638,NA,237.77805782499996,1973.5,NA,-14.23318,-169.46381
2018-07-10,Pacific,American Samoa,Ofu and Olosega Islands,1,28.633475,35.250775,NA,NA,NA,8.065541088,NA,238.40387055,1973.5,NA,-14.17662,-169.63896
2018-07-05,Pacific,American Samoa,Tutuila,1,28.5476,35.215125,NA,NA,NA,8.068858338,NA,237.71650247499997,1966.5,NA,-14.29665,-170.72425
2017-04-22,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.5445,35.0263,NA,NA,NA,8.069087198,NA,236.02373035,1962.8,NA,19.29377,166.63213
2018-07-07,Pacific,American Samoa,Tutuila,1,28.19695,35.150175,NA,NA,NA,8.072108997,NA,237.183022775,1963.7,NA,-14.29665,-170.72425
2017-04-19,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.351,35.0193,NA,NA,NA,8.07933079,NA,234.57717962499999,1945.6,NA,19.29377,166.63213
2017-04-20,Pacific,Pacific Remote Islands Area,Wake Atoll,0.9,27.9041,34.682,NA,NA,NA,8.088486309,NA,235.78776817500002,1947.7,NA,19.29377,166.63213
2017-05-04,Pacific,Guam and Marianas Islands,Guam,0.9,29.2533,34.1812,NA,NA,NA,8.109550994,NA,224.89247122499998,1831,NA,13.4506,144.76817
2010-04-12,Pacific,Pacific Remote Islands Area,Palmyra Atoll,0.9,NA,34.89,NA,NA,NA,NA,NA,229.49886325,1915.3,NA,5.88248,-162.07633
2010-04-12,Pacific,Pacific Remote Islands Area,Palmyra Atoll,5.5,NA,34.893,NA,NA,NA,NA,NA,230.48374885,1943.6,NA,5.88248,-162.07633
2010-04-12,Pacific,Pacific Remote Islands Area,Palmyra Atoll,3.7,NA,34.898,NA,NA,NA,NA,NA,229.56041859999996,1914.5,NA,5.88248,-162.07633
2010-04-12,Pacific,Pacific Remote Islands Area,Palmyra Atoll,0.9,NA,34.913,NA,NA,NA,NA,NA,230.65815567500002,1943.5,NA,5.88248,-162.07633
2016-05-23,Pacific,Pacific Remote Islands Area,Jarvis Island,13.7,23.2866,35.3246,NA,NA,NA,7.956568356,NA,237.9729831,2079.5,NA,-0.37641,-159.99755
2019-04-27,Pacific,Hawaiian Archipelago,Maui,1,23.61270943,34.7187434,NA,NA,NA,8.062413905,NA,234.91573405000003,1995.4,NA,20.74914,-156.15505
2019-04-27,Pacific,Hawaiian Archipelago,Maui,1,23.62047826,34.38855217,NA,NA,NA,8.024716772,NA,233.40762797499994,2005.6,NA,20.74914,-156.15505
2019-04-27,Pacific,Hawaiian Archipelago,Maui,1,23.72320202,34.66016356,NA,NA,NA,8.05975587,NA,234.46432814999997,1992.4,NA,20.74914,-156.15505
2019-04-27,Pacific,Hawaiian Archipelago,Maui,1,23.77320235,34.40568706,NA,NA,NA,8.049546834,NA,233.74618239999998,1993.3,NA,20.74914,-156.15505
2019-04-27,Pacific,Hawaiian Archipelago,Maui,1,23.877114,34.609228,NA,NA,NA,8.068708881,NA,234.47458737500003,1986.3,NA,20.74914,-156.15505
2019-04-28,Pacific,Hawaiian Archipelago,Maui,1,23.87848098,34.71947362,NA,NA,NA,8.078840802,NA,233.92058922499996,1974.6,NA,20.74914,-156.15505
2013-07-14,Pacific,Hawaiian Archipelago,Kure Atoll,14.9,23.8942,35.2768,NA,NA,NA,8.064712952,NA,237.52362904499995,2010.231193,NA,28.39663,-178.29891
2016-05-23,Pacific,Pacific Remote Islands Area,Jarvis Island,0.9,23.9123,35.4601,NA,NA,NA,7.958287354,NA,237.91142775,2072.5,NA,-0.37641,-159.99755
2014-04-28,Pacific,Guam and Marianas Islands,Maug,14.9,24.0651,35.1268,NA,NA,NA,8.08210342,NA,236.2083964,1987.8,NA,20.02342,145.22153
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,15.24,24.1107,35.2902,NA,NA,NA,7.970654618,NA,237.901168525,2065.1,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,15.24,24.1136,35.291,NA,NA,NA,7.969136638,NA,237.552354875,2062.7,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,15.24,24.1364,35.265,NA,NA,NA,7.969056325,NA,237.942205425,2066.2,NA,-0.37641,-159.99755
2008-03-29,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.1811,35.246,NA,NA,NA,7.966576041,NA,237.47028107499997,2063.2,NA,-0.37641,-159.99755
2008-03-29,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.1811,35.243,NA,NA,NA,7.978578712,NA,238.02427922499993,2061.7,NA,-0.37641,-159.99755
2019-04-28,Pacific,Hawaiian Archipelago,Molokai,1,24.22380263,34.66804211,NA,NA,NA,8.058001152,NA,234.54640195,1989.7,NA,21.13598,-157.10221
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,13,24.2248,35.2843,NA,NA,NA,7.970218156,NA,237.8909093,2064.4,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,14.5,24.2249,35.264,NA,NA,NA,7.962227704,NA,237.67546557499995,2066.8,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,4.2,24.229,35.26,NA,NA,NA,7.979250724,NA,238.15764915,2062.2,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,13.72,24.2407,35.2889,NA,NA,NA,7.967639887,NA,237.901168525,2065.6,NA,-0.37641,-159.99755
2019-04-28,Pacific,Hawaiian Archipelago,Molokai,1,24.24993097,34.66315929,NA,NA,NA,8.055060029,NA,233.77696007499995,1984.4,NA,21.13598,-157.10221
2019-04-28,Pacific,Hawaiian Archipelago,Molokai,1,24.31159661,34.6737122,NA,NA,NA,8.040826696,NA,233.87955232499996,1992.9,NA,21.13598,-157.10221
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,13.72,24.3137,35.2727,NA,NA,NA,7.973328357,NA,238.08583457499998,2063.7,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,1.8,24.3206,35.261,NA,NA,NA,7.970271326,NA,238.46542589999999,2069,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,13.2,24.3233,35.2819,NA,NA,NA,7.96621185,NA,238.08583457499998,2067.5,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,1.5,24.3801,35.242,NA,NA,NA,7.976710488,NA,238.32179674999998,2063.9,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,1.5,24.3801,35.242,NA,NA,NA,7.983769592,NA,238.18842682499994,2058.9,NA,-0.37641,-159.99755
2008-03-29,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.3846,35.238,NA,NA,NA,7.961761609,NA,237.81909472499999,2067.3,NA,-0.37641,-159.99755
2013-07-14,Pacific,Hawaiian Archipelago,Kure Atoll,15.2,24.3983,35.2175,NA,NA,NA,8.025801144,NA,236.8660127225,2023.197917,NA,28.39663,-178.29891
2014-05-04,Pacific,Guam and Marianas Islands,Maug,14,24.3987,35.0941,NA,NA,NA,8.081596328,NA,235.71595359999995,1981,NA,20.02342,145.22153
2019-04-28,Pacific,Hawaiian Archipelago,Molokai,1,24.48597619,34.67602993,NA,NA,NA,8.050527192,NA,234.084736825,1987.6,NA,21.13598,-157.10221
2019-04-29,Pacific,Hawaiian Archipelago,Molokai,1,24.53185263,34.63576184,NA,NA,NA,8.056128078,NA,233.56151635,1979.6,NA,21.13598,-157.10221
2008-03-29,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.5432,35.232,NA,NA,NA,7.982895917,NA,238.39361132499997,2059.7,NA,-0.37641,-159.99755
2019-04-29,Pacific,Hawaiian Archipelago,Molokai,1,24.55269501,34.6833783,NA,NA,NA,8.04809516,NA,233.8282562,1986.1,NA,21.13598,-157.10221
2008-03-27,Pacific,Pacific Remote Islands Area,Jarvis Island,12.19,24.5743,35.2664,NA,NA,NA,7.973504465,NA,237.77805782499996,2058.9,NA,-0.37641,-159.99755
2019-04-29,Pacific,Hawaiian Archipelago,Molokai,1,24.58686456,34.61280443,NA,NA,NA,8.049616172,NA,233.53073867499998,1982.8,NA,21.13598,-157.10221
2008-03-27,Pacific,Pacific Remote Islands Area,Jarvis Island,12.19,24.5883,35.234,NA,NA,NA,7.985930574,NA,238.38335209999997,2057.5,NA,-0.37641,-159.99755
2019-05-07,Pacific,Hawaiian Archipelago,Oahu,1,24.58986774,34.29502258,NA,NA,NA,8.012921893,NA,234.679771875,2016.1,NA,21.54324,158.13259
2008-03-27,Pacific,Pacific Remote Islands Area,Jarvis Island,12.19,24.5954,35.2652,NA,NA,NA,7.96349646,NA,237.95246464999997,2065.6,NA,-0.37641,-159.99755
2019-04-29,Pacific,Hawaiian Archipelago,Molokai,1,24.60670377,34.59716604,NA,NA,NA,8.050033051,NA,233.53073867499998,1982.5,NA,21.13598,-157.10221
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,13.72,24.6398,35.244,NA,NA,NA,7.965774144,NA,238.28075984999998,2067.2,NA,-0.37641,-159.99755
2019-04-29,Pacific,Hawaiian Archipelago,Molokai,1,24.64306154,34.65519231,NA,NA,NA,8.048845552,NA,233.5820348,1982.9,NA,21.13598,-157.10221
2019-04-30,Pacific,Hawaiian Archipelago,Molokai,1,24.66279659,34.53043864,NA,NA,NA,8.0424334730000009,NA,233.17166579999997,1983.7,NA,21.13598,-157.10221
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.6688,35.222,NA,NA,NA,7.96558787,NA,237.60365099999999,2061.2,NA,-0.37641,-159.99755
2008-03-29,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.6704,35.221,NA,NA,NA,7.957325017,NA,239.460570725,2082.3,NA,-0.37641,-159.99755
2019-04-29,Pacific,Hawaiian Archipelago,Molokai,1,24.67605,34.55188452,NA,NA,NA,8.044590924,NA,233.387109525,1984.1,NA,21.13598,-157.10221
2016-09-15,Pacific,Hawaiian Archipelago,Kure Atoll,12.8,24.7048,35.0172,NA,NA,NA,8.048245149,NA,236.07502647499996,2001.8,NA,28.39663,-178.29891
2016-09-15,Pacific,Hawaiian Archipelago,Kure Atoll,14.3,24.7048,35.0172,NA,NA,NA,8.049713294,NA,235.890360425,1999.3,NA,28.39663,-178.29891
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,15.24,24.791,35.2476,NA,NA,NA,7.970674395,NA,237.84987239999998,2059.3,NA,-0.37641,-159.99755
2016-05-23,Pacific,Pacific Remote Islands Area,Jarvis Island,0.9,24.8031,32.0823,NA,NA,NA,7.994233054,NA,237.96272387499997,2069.4,NA,-0.37641,-159.99755
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,16.9,24.8092,35.2508,NA,NA,NA,7.969089151,NA,237.67546557499995,2058.4,NA,-0.37641,-159.99755
2019-05-01,Pacific,Hawaiian Archipelago,Molokai,1,24.86734615,34.5443734,NA,NA,NA,8.049050232,NA,233.17166579999997,1978,NA,21.13598,-157.10221
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,10,24.8791,35.214,NA,NA,NA,7.976811533,NA,237.983242325,2056.8,NA,-0.37641,-159.99755
2019-05-01,Pacific,Hawaiian Archipelago,Molokai,1,24.89111096,34.48535616,NA,NA,NA,8.048470842,NA,232.90492594999995,1976.2,NA,21.13598,-157.10221
2019-04-23,Pacific,Hawaiian Archipelago,Maui,1,24.89328627,34.46978423,NA,NA,NA,8.052235653,NA,233.02803665,1975.2,NA,20.74914,-156.15505
2019-05-03,Pacific,Hawaiian Archipelago,Molokai,1,24.89576923,34.40841846,NA,NA,NA,8.047664887,NA,232.21755787499998,1971.1,NA,21.13598,-157.10221
2008-03-28,Pacific,Pacific Remote Islands Area,Jarvis Island,1.3,24.9174,35.214,NA,NA,NA,7.97450652,NA,238.08583457499998,2058.8,NA,-0.37641,-159.99755
2013-08-03,Pacific,Hawaiian Archipelago,Hawai'i (Big Island),19.5,24.9211,35.0856,NA,NA,NA,8.05000638,NA,237.14403772,2007.72962,NA,19.3974,-155.66616
2013-08-03,Pacific,Hawaiian Archipelago,Hawai'i (Big Island),12.8,24.9282,35.1238,NA,NA,NA,8.061592498,NA,237.44873670249993,2003.272205,NA,19.3974,-155.66616
2019-04-24,Pacific,Hawaiian Archipelago,Maui,1,24.931,34.47884,NA,NA,NA,8.031055675,NA,231.62252282499995,1974.5,NA,20.74914,-156.15505
2019-04-24,Pacific,Hawaiian Archipelago,Maui,1,24.97855,34.40598333,NA,NA,NA,8.037962722,NA,232.073928725,1974.7,NA,20.74914,-156.15505
2010-10-10,Pacific,Hawaiian Archipelago,Hawai'i (Big Island),0.9,25.0005,34.6787,NA,NA,NA,8.058201418,NA,232.607408425,1965.5,NA,19.3974,-155.66616
2014-05-04,Pacific,Guam and Marianas Islands,Maug,14,25.0124,35.119,NA,NA,NA,8.076173666,NA,235.0183263,1972.3,NA,20.02342,145.22153
2008-03-27,Pacific,Pacific Remote Islands Area,Jarvis Island,14.1,25.0158,35.2519,NA,NA,NA,7.994161538,NA,237.38820727499998,2040.3,NA,-0.37641,-159.99755
2019-05-01,Pacific,Hawaiian Archipelago,Molokai,1,25.02766892,34.44721754,NA,NA,NA,8.053660592,NA,233.20244347499997,1974.9,NA,21.13598,-157.10221
2008-03-27,Pacific,Pacific Remote Islands Area,Jarvis Island,13.8,25.0422,35.2555,NA,NA,NA,7.988848474,NA,237.285615025,2042.1,NA,-0.37641,-159.99755
2019-04-25,Pacific,Hawaiian Archipelago,Kaho'olawe,1,25.045185,34.375525,NA,NA,NA,8.058609926,NA,232.41248314999999,1965.4,NA,20.57109,-156.60019
2013-08-03,Pacific,Hawaiian Archipelago,Hawai'i (Big Island),12.2,25.0474,35.059,NA,NA,NA,8.050999786,NA,236.92243846,2004.408478,NA,19.3974,-155.66616
2019-05-02,Pacific,Hawaiian Archipelago,Molokai,1,25.04761231,34.53879664,NA,NA,NA,8.021694815,NA,230.87359940000002,1971.7,NA,21.13598,-157.10221
2008-03-27,Pacific,Pacific Remote Islands Area,Jarvis Island,1.6,25.0597,35.234,NA,NA,NA,7.987634868,NA,237.306133475,2043.3,NA,-0.37641,-159.99755
2019-05-03,Pacific,Hawaiian Archipelago,Molokai,1,25.07356,34.32589,NA,NA,NA,8.051496758,NA,231.93029957499996,1965.4,NA,21.13598,-157.10221
2019-04-24,Pacific,Hawaiian Archipelago,Maui,1,25.08722105,34.46179298,NA,NA,NA,8.036580291,NA,231.09930234999996,1965.5,NA,20.74914,-156.15505
