KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,5/25/2021 20:07,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.38,50465,50485.8,94.6,108.1,6.48,244.1,33.09,50483.9,0.73,32815,1.189,NA,-91.5,24.981,0,11.6
,,,STANDARD DEVIATION:,0.01,69.1,100.6,0.1,0.1,0.02,3.5,0.07,84.7,0.08,55,0.002,0.02,1.1,0.159,0,0
,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,20J103744,20B121032,20B121032,20C000323,20C000323,20C000323,20C202371,20B121032,20B121032,20J103744,20B121032,20B120857,20C202371,20C202371,20B121032,20C202414,20C202414
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Battery V,Cable Pwr V
5/25/2021,12:45:00,0,B2,0.37,50396,50586.3,94.6,108.1,6.5,240.6,33.16,50568.6,0.66,32870,1.187,8.22,-90.4,24.821,0,11.6
5/25/2021,13:00:00,0,B2,0.4,50534.1,50385.2,94.5,108,6.46,247.7,33.03,50399.2,0.81,32759,1.191,8.26,-92.6,25.14,0,11.6
