year,variable,mean,median,std,IQR,min,max
2016,do_saturated_percent,NA,NA,NA,NA,NA,NA
2016,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2016,orp_mV,330.83,148,266.8,531,106,792
2016,pH,8.13,8.1,0.15,0.2,7.5,8.3
2016,pH_mV,NA,NA,NA,NA,NA,NA
2016,salinity_psu,24.06,24.7,1.12,1.8,22,26
2016,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2016,temp_c,23.67,23.7,1.47,1.6,20,27.3
2016,temp_f,74.72,74.75,3.25,3.66,66.42,80.54
2016,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2016,total_algae_rfu,NA,NA,NA,NA,NA,NA
2016,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2017,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2017,chlorophyll_ugL,NA,NA,NA,NA,NA,NA
2017,conductivity_uScm,40313.26,41300,4028.56,7800,33500,47100
2017,do_local_percent,NA,NA,NA,NA,NA,NA
2017,do_mgL,NA,NA,NA,NA,NA,NA
2017,do_saturated_percent,NA,NA,NA,NA,NA,NA
2017,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2017,orp_mV,790.85,797,21.97,19,654,833
2017,pH,8.21,8.2,0.25,0.2,7.5,8.8
2017,pH_mV,NA,NA,NA,NA,NA,NA
2017,salinity_psu,27.15,27.4,2.33,4.4,23.3,31
2017,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2017,temp_c,22.53,22,1.74,3.4,20,25.8
2017,temp_f,72.41,71.43,3.19,6.24,66.71,78.8
2017,total_algae_cellsL,NA,NA,NA,NA,NA,NA
2017,total_algae_rfu,NA,NA,NA,NA,NA,NA
2017,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2018,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2018,chlorophyll_ugL,8.19,0,21.61,6.39,0,154.6
2018,conductivity_uScm,47290.05,47100,1903.69,3343.75,43500,50700
2018,do_local_percent,NA,NA,NA,NA,NA,NA
2018,do_mgL,NA,NA,NA,NA,NA,NA
2018,do_saturated_percent,92.75,92,2.7,4.5,89,98.5
2018,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2018,orp_mV,777.91,781,24.03,33,624,828
2018,pH,8.56,8.6,0.22,0.46,8.09,9
2018,pH_mV,NA,NA,NA,NA,NA,NA
2018,salinity_psu,31.57,31.4,0.76,0.95,30.2,33.2
2018,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2018,temp_c,23.72,24.3,1.4,2.19,20.01,25.7
2018,temp_f,75.53,76.38,2.65,2.98,67.94,80.21
2018,total_algae_cellsL,308.92,307.2,84.12,109.2,57.2,597.6
2018,total_algae_rfu,0,0,0.02,0,0,3
2018,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2019,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2019,chlorophyll_ugL,212.51,0,307.56,672,0,679.2
2019,conductivity_uScm,49138.78,49556.25,2282.96,2550,44500,53725
2019,do_local_percent,NA,NA,NA,NA,NA,NA
2019,do_mgL,NA,NA,NA,NA,NA,NA
2019,do_saturated_percent,92.39,92.5,4.52,5.5,76.5,106
2019,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2019,orp_mV,767.39,772,39.61,57.84,648,844
2019,pH,8.29,8.26,0.16,0.19,7.84,8.8
2019,pH_mV,NA,NA,NA,NA,NA,NA
2019,salinity_psu,33.4,33.46,0.98,0.83,30.88,34.77
2019,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2019,temp_c,23.16,22.93,1.46,1.99,20.25,26.6
2019,temp_f,73.63,72.72,2.77,4.5,68.79,80.09
2019,total_algae_cellsL,115804.98,169907.19,79268.06,169412.8,15.01,170982.39
2019,total_algae_rfu,0,0,0,0,0,0
2019,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2020,chlorophyll_rfu,NA,NA,NA,NA,NA,NA
2020,chlorophyll_ugL,673.59,673.6,1.5,1.6,442.4,676
2020,conductivity_uScm,51445.44,51406.25,586.39,868.75,47362.5,52587.5
2020,do_local_percent,NA,NA,NA,NA,NA,NA
2020,do_mgL,NA,NA,NA,NA,NA,NA
2020,do_saturated_percent,91.02,91,5.13,6.5,70,105.5
2020,nlf_conductivity_uScm,NA,NA,NA,NA,NA,NA
2020,orp_mV,750.5,747.88,21.56,19.99,619.93,839.94
2020,pH,8.48,8.51,0.23,0.38,7.71,8.87
2020,pH_mV,NA,NA,NA,NA,NA,NA
2020,salinity_psu,34.13,34.25,0.4,0.34,31.02,34.91
2020,sp_conductivity_uScm,NA,NA,NA,NA,NA,NA
2020,temp_c,24.54,24.9,0.55,1.1,23.46,25.24
2020,temp_f,NA,NA,NA,NA,NA,NA
2020,total_algae_cellsL,169895.49,169907.19,17.6,25.59,169702.39,169958.39
2020,total_algae_rfu,0,0,0,0,0,0
2020,total_dissolved_solids_mgL,NA,NA,NA,NA,NA,NA
2021,chlorophyll_rfu,1.12,0.2,3.05,1.55,-2.21,15.53
2021,chlorophyll_ugL,673.59,673.6,1.14,1.6,669.6,675.6
2021,conductivity_uScm,50864.81,50839.29,892.84,1585.88,46543.75,52581.25
2021,do_local_percent,104.86,104.18,3.17,4.96,95.51,114
2021,do_mgL,6.27,6.23,0.19,0.29,5.88,7.07
2021,do_saturated_percent,90.53,90.39,4.03,4.68,69.5,107.5
2021,nlf_conductivity_uScm,49921.36,49921.27,433.78,637.52,49152.32,50883.02
2021,orp_mV,532.43,715.88,234.61,461.77,221.38,779.89
2021,pH,8.17,8.18,0.11,0.16,7.71,8.43
2021,pH_mV,-91.13,-91.26,1.76,2.37,-95.42,-85.94
2021,salinity_psu,33.31,33.44,0.78,1.53,31,35.47
2021,sp_conductivity_uScm,49955.52,49974.98,440.88,629.37,49152.12,50910.45
2021,temp_c,25.04,25,0.16,0.09,24.75,26.49
2021,temp_f,77.07,77.01,0.09,0.18,76.56,77.47
2021,total_algae_cellsL,169894.9,169907.19,16.14,25.59,169728,169958.39
2021,total_algae_rfu,5.6,1.26,10.27,4.92,-11.82,63.18
2021,total_dissolved_solids_mgL,32448.75,32422.94,322.07,220.18,32000.65,33231.29
2022,chlorophyll_rfu,-1.1,-0.56,1.12,1.24,-4.05,0.55
