precision=i:6|min=d:-inf|max=d:+inf
Ocean YSI_EXO3_Time_HHMMSS -   [ ]
ID, TIMESTAMP, TRENDFLAGS, STATUS, VALUE, TRENDFLAGS_TAG, STATUS_TAG
14121, 2022/01/22 08:30:07, 0, 17, 0, { }, {disabled,stale}
14122, 2022/01/22 08:45:07, 0, 17, 0, { }, {disabled,stale}
14123, 2022/01/22 09:00:07, 0, 17, 0, { }, {disabled,stale}
14124, 2022/01/22 09:15:07, 0, 17, 0, { }, {disabled,stale}
14125, 2022/01/22 09:30:07, 0, 17, 0, { }, {disabled,stale}
14126, 2022/01/22 09:45:07, 0, 17, 0, { }, {disabled,stale}
14127, 2022/01/22 10:00:07, 0, 17, 0, { }, {disabled,stale}
14128, 2022/01/22 10:15:00, 0, 17, 0, { }, {disabled,stale}
14129, 2022/01/22 10:30:07, 0, 17, 0, { }, {disabled,stale}
14130, 2022/01/22 10:45:07, 0, 17, 0, { }, {disabled,stale}
14131, 2022/01/22 11:00:07, 0, 17, 0, { }, {disabled,stale}
14132, 2022/01/22 11:15:06, 0, 17, 0, { }, {disabled,stale}
14133, 2022/01/22 11:30:06, 0, 17, 0, { }, {disabled,stale}
14134, 2022/01/22 11:45:07, 0, 17, 0, { }, {disabled,stale}
14135, 2022/01/22 12:00:07, 0, 17, 0, { }, {disabled,stale}
14136, 2022/01/22 12:15:07, 0, 17, 0, { }, {disabled,stale}
14137, 2022/01/22 12:30:07, 0, 17, 0, { }, {disabled,stale}
14138, 2022/01/22 12:45:07, 0, 17, 0, { }, {disabled,stale}
14139, 2022/01/22 13:00:06, 0, 17, 0, { }, {disabled,stale}
14140, 2022/01/22 13:15:07, 0, 17, 0, { }, {disabled,stale}
14141, 2022/01/22 13:30:07, 0, 17, 0, { }, {disabled,stale}
14142, 2022/01/22 13:45:07, 0, 17, 0, { }, {disabled,stale}
14143, 2022/01/22 14:00:07, 0, 17, 0, { }, {disabled,stale}
14144, 2022/01/22 14:15:07, 0, 17, 0, { }, {disabled,stale}
14145, 2022/01/22 14:30:07, 0, 17, 0, { }, {disabled,stale}
14146, 2022/01/22 14:45:06, 0, 17, 0, { }, {disabled,stale}
14147, 2022/01/22 15:00:07, 0, 17, 0, { }, {disabled,stale}
14148, 2022/01/22 15:15:07, 0, 17, 0, { }, {disabled,stale}
14149, 2022/01/22 15:30:07, 0, 17, 0, { }, {disabled,stale}
14150, 2022/01/22 15:45:07, 0, 17, 0, { }, {disabled,stale}
14151, 2022/01/22 16:00:07, 0, 17, 0, { }, {disabled,stale}
14152, 2022/01/22 16:15:07, 0, 17, 0, { }, {disabled,stale}
14153, 2022/01/22 16:30:07, 0, 17, 0, { }, {disabled,stale}
14154, 2022/01/22 16:45:07, 0, 17, 0, { }, {disabled,stale}
14155, 2022/01/22 17:00:07, 0, 17, 0, { }, {disabled,stale}
14156, 2022/01/22 17:15:06, 0, 17, 0, { }, {disabled,stale}
14157, 2022/01/22 17:30:06, 0, 17, 0, { }, {disabled,stale}
14158, 2022/01/22 17:45:06, 0, 17, 0, { }, {disabled,stale}
14159, 2022/01/22 18:00:06, 0, 17, 0, { }, {disabled,stale}
14160, 2022/01/22 18:15:07, 0, 17, 0, { }, {disabled,stale}
14161, 2022/01/22 18:30:07, 0, 17, 0, { }, {disabled,stale}
14162, 2022/01/22 18:45:06, 0, 17, 0, { }, {disabled,stale}
14163, 2022/01/22 19:00:06, 0, 17, 0, { }, {disabled,stale}
14164, 2022/01/22 19:15:07, 0, 17, 0, { }, {disabled,stale}
14165, 2022/01/22 19:30:06, 0, 17, 0, { }, {disabled,stale}
14166, 2022/01/22 19:45:06, 0, 17, 0, { }, {disabled,stale}
14167, 2022/01/22 20:00:06, 0, 17, 0, { }, {disabled,stale}
14168, 2022/01/22 20:15:06, 0, 17, 0, { }, {disabled,stale}
14169, 2022/01/22 20:30:06, 0, 17, 0, { }, {disabled,stale}
14170, 2022/01/22 20:45:06, 0, 17, 0, { }, {disabled,stale}
14171, 2022/01/22 21:00:07, 0, 17, 0, { }, {disabled,stale}
14172, 2022/01/22 21:15:06, 0, 17, 0, { }, {disabled,stale}
14173, 2022/01/22 21:30:07, 0, 17, 0, { }, {disabled,stale}
14174, 2022/01/22 21:45:07, 0, 17, 0, { }, {disabled,stale}
14175, 2022/01/22 22:00:06, 0, 17, 0, { }, {disabled,stale}
14176, 2022/01/22 22:15:07, 0, 17, 0, { }, {disabled,stale}
14177, 2022/01/22 22:30:07, 0, 17, 0, { }, {disabled,stale}
14178, 2022/01/22 22:45:07, 0, 17, 0, { }, {disabled,stale}
14179, 2022/01/22 23:00:07, 0, 17, 0, { }, {disabled,stale}
14180, 2022/01/22 23:15:07, 0, 17, 0, { }, {disabled,stale}
14181, 2022/01/22 23:30:07, 0, 17, 0, { }, {disabled,stale}
14182, 2022/01/22 23:45:07, 0, 17, 0, { }, {disabled,stale}
14183, 2022/01/23 00:00:07, 0, 17, 0, { }, {disabled,stale}
14184, 2022/01/23 00:15:07, 0, 17, 0, { }, {disabled,stale}
14185, 2022/01/23 00:30:07, 0, 17, 0, { }, {disabled,stale}
14186, 2022/01/23 00:45:07, 0, 17, 0, { }, {disabled,stale}
14187, 2022/01/23 01:00:07, 0, 17, 0, { }, {disabled,stale}
14188, 2022/01/23 01:15:07, 0, 17, 0, { }, {disabled,stale}
14189, 2022/01/23 01:30:07, 0, 17, 0, { }, {disabled,stale}
14190, 2022/01/23 01:45:07, 0, 17, 0, { }, {disabled,stale}
14191, 2022/01/23 02:00:07, 0, 17, 0, { }, {disabled,stale}
14192, 2022/01/23 02:15:07, 0, 17, 0, { }, {disabled,stale}
14193, 2022/01/23 02:30:07, 0, 17, 0, { }, {disabled,stale}
14194, 2022/01/23 02:45:07, 0, 17, 0, { }, {disabled,stale}
14195, 2022/01/23 03:00:07, 0, 17, 0, { }, {disabled,stale}
14196, 2022/01/23 03:15:07, 0, 17, 0, { }, {disabled,stale}
14197, 2022/01/23 03:30:06, 0, 17, 0, { }, {disabled,stale}
14198, 2022/01/23 03:45:07, 0, 17, 0, { }, {disabled,stale}
14199, 2022/01/23 04:00:07, 0, 17, 0, { }, {disabled,stale}
