Time,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_Crabwalk_F,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Temp_C,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_pH,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Salinity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Conductivity,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_ORP,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePE,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_AlgaePC,\\b2cdaqp\b2cdaq\DES_SAV_PLC.Ocean_Chlorophyll
7/12/16 3:00,79.1938,26.2,7.9,25.4,40.8,132,12,127,0
7/12/16 3:15,79.1938,26.2,7.9,25.4,40.8,134,10,115,0
7/12/16 3:30,79.1375,26.2,7.9,25.4,40.8,132,10,69,0
7/12/16 3:45,79.1375,26.2,7.9,25.4,40.8,133,13,72,0
7/12/16 4:00,79.1375,26.2,7.9,25.4,40.8,133,12,66,0
7/12/16 4:15,79.1375,26.2,7.9,25.4,40.8,133,8,95,0
7/12/16 4:30,79.1375,26.2,7.9,25.4,40.8,133,11,62,0
7/12/16 4:45,79.1375,26.2,7.9,25.4,40.8,134,8,77,0
7/12/16 5:00,79.1375,26.2,7.9,25.4,40.8,134,10,67,0
7/12/16 5:15,79.1375,26.2,7.9,25.4,40.8,135,8,69,0
7/12/16 5:30,79.0812,26.2,7.9,25.4,40.8,135,11,86,0
7/12/16 5:45,79.0812,26.2,7.9,25.4,40.8,136,8,100,0
7/12/16 6:00,79.0812,26.2,7.9,25.4,40.8,135,8,93,0
7/12/16 6:15,79.0812,26.2,7.9,25.4,40.8,134,14,163,0
7/12/16 6:30,79.0812,26.2,7.9,25.4,40.8,134,10,200,0
7/12/16 6:45,79.0812,26.2,7.9,25.4,40.8,135,8,307,0
7/12/16 7:00,79.0812,26.2,7.9,25.4,40.8,134,10,202,0
7/12/16 7:15,79.0812,26.2,7.9,25.4,40.8,134,9,268,0
7/12/16 7:30,79.0812,26.2,7.9,25.4,40.7,134,17,172,0
7/12/16 7:45,79.025,26.1,7.9,25.4,40.8,134,7,266,0
7/12/16 8:00,79.025,26.1,7.9,25.4,40.8,134,10,171,0
7/12/16 8:15,79.025,26.1,7.9,25.4,40.8,135,8,191,0
7/12/16 8:30,79.025,26.1,7.9,25.4,40.8,135,7,343,0
7/12/16 8:45,79.025,26.1,7.9,25.4,40.8,134,6,246,0
7/12/16 9:00,79.0812,26.1,7.9,25.4,40.8,134,6,267,0
7/12/16 9:15,79.0812,26.1,7.9,25.4,40.8,133,6,246,0
